,date,topic,volume,percentage,state,state_abbrev
158,2025-07-31,Nike - California State,1911640,40.24073204771698,California,CA
159,2025-06-30,Adidas - California State,1010590,25.292002132297554,California,CA
160,2025-06-30,New Balance - California State,1305890,32.682465356421545,California,CA
161,2025-06-30,Nike - California State,1679210,42.02553251128091,California,CA
162,2025-05-31,Adidas - California State,1136820,26.88935301589253,California,CA
163,2025-05-31,New Balance - California State,1343240,31.7718324317548,California,CA
164,2025-05-31,Nike - California State,1747710,41.33881455235266,California,CA
165,2025-04-30,Adidas - California State,1067430,26.07067754013438,California,CA
166,2025-04-30,New Balance - California State,1256050,30.6774912868158,California,CA
167,2025-04-30,Nike - California State,1770890,43.25183117304982,California,CA
168,2025-03-31,Adidas - California State,1201340,25.659460129093997,California,CA
169,2025-03-31,New Balance - California State,1524610,32.564194572242656,California,CA
170,2025-03-31,Nike - California State,1955910,41.77634529866335,California,CA
171,2025-02-28,Adidas - California State,973260,25.62518759577258,California,CA
172,2025-02-28,New Balance - California State,1208900,31.82940764495558,California,CA
173,2025-02-28,Nike - California State,1615900,42.54540475927184,California,CA
174,2025-01-31,Adidas - California State,1084280,26.07094081212611,California,CA
175,2025-01-31,New Balance - California State,1361370,32.73342374055052,California,CA
176,2025-01-31,Nike - California State,1713310,41.19563544732337,California,CA
177,2024-12-31,Adidas - California State,1617380,25.49319395494581,California,CA
178,2024-12-31,New Balance - California State,1814980,28.607771311842328,California,CA
179,2024-12-31,Nike - California State,2912000,45.89903473321186,California,CA
180,2024-11-30,Adidas - California State,1743870,30.57688362559462,California,CA
181,2024-11-30,New Balance - California State,1525860,26.75431290689661,California,CA
182,2024-11-30,Nike - California State,2433500,42.668803467508766,California,CA
183,2024-10-31,Adidas - California State,1311010,29.469441703325234,California,CA
184,2024-10-31,New Balance - California State,1260210,28.3275376457445,California,CA
185,2024-10-31,Nike - California State,1877490,42.20302065093027,California,CA
186,2024-09-30,Adidas - California State,1389040,29.842434763179494,California,CA
187,2024-09-30,New Balance - California State,1318830,28.334027989636013,California,CA
188,2024-09-30,Nike - California State,1946710,41.8235372471845,California,CA
189,2024-08-31,Adidas - California State,2139640,36.65920223693025,California,CA
190,2024-08-31,New Balance - California State,1565880,26.82877100762948,California,CA
191,2024-08-31,Nike - California State,2131050,36.51202675544027,California,CA
192,2024-07-31,Adidas - California State,2020820,34.59301230806101,California,CA
193,2024-07-31,New Balance - California State,1430610,24.48961774825821,California,CA
194,2024-07-31,Nike - California State,2390270,40.917369943680775,California,CA
195,2024-06-30,Adidas - California State,1660610,31.018566945606697,California,CA
196,2024-06-30,New Balance - California State,1326960,24.786312014345487,California,CA
197,2024-06-30,Nike - California State,2366030,44.195121040047816,California,CA
198,2024-05-31,Adidas - California State,1488700,31.79420370330821,California,CA
199,2024-05-31,New Balance - California State,1293340,27.62189522243342,California,CA
200,2024-05-31,Nike - California State,1900260,40.58390107425838,California,CA
201,2024-04-30,Adidas - California State,1466880,31.674069403628025,California,CA
